d0001	YHQ 176-band,1-ilova3-bo'lim 3.27 yo'l belgisi.
d0410	YHQ 28 bobi 166-band.Velosipedlar, mopedlar, aravalar, miniladigan yoki yuk ortiladigan hayvonlarning yo'lning chetki o'ng bo'lagida imkoni boricha o'ng tomonidan bir qator bo'lib harakatlanishiga yo'l qo'yiladi. Agar piyodalarga xalaqit bermasa, yo'l yoqasidan harakatlanishga ham ruxsat etiladi.
d0411	YHQ, 1-ilova 1.30 belgisi. "Boshqa xavf-xatarlar".
d0412	YHQ,1-bobi 6 band: Yo'l-transport hodisasi - transport vositasining yo'lda harakatlanishi jarayonida ro'y bergan, fuqarolarning halok bo'lishiga yoki sog'lig'iga zarar etishiga, transport vositalari, inshootlar, yuklarning shikastlanishi yoxud boshqa moddiy zarar etishiga sabab bo'lgan hodisa.
d0413	YHQ 1-ilova: 3.31. belgisi "Barcha cheklovlarning oxiri". 3.16, 3.20, 3.22, 3.24, 3.26 - 3.30 belgilaridan bir nechtasiga bir vaqtda amal qiladigan oraliqlarning oxirini bildiradi.
d0414	"Avtotest 2.0" o'quv qo'llanmasi. Yo'lning qiyalik qismlarida to'xtaganda mexanik uzatmali avtomobillarda to'xtab turish tormozi bilan ushlab turish maqsadga muvofiq. 214 bet.
d0415	YHQ,1-ilova2.6.belgisi "Ro'para harakatlanishning ustunligi".
d0416	E.V.Bocharov 95 va 55 bet. Suvda sirpanish kuchli yomg'ir, sel yoki suv toshgan yo'l qismlarida sodir bo'ladi bu holda harakat xavfsizligini ta'minlash maqsadida avtomobilni dvigatel bilan tormozlash yaxshi samara beradi. Bahorgi, kuzgi yomg'irlar vasuv toshgan yo'lning pastqam qismlarida harakatlanishda yuqoridagi usulda tomozlash tavsiyaetiladi."Texnika upravleniya avtomobilem" str.20
d0417	"Avtotest 2.0" o'quv qo'llanmasi. 355 bet.
d0418	YHQ 1 ilova: 1.20.belgisi "Piyodalar o'tish joyi"
d0419	YHQ,1-bobi 6 band: Chorraha - yo'llarning o'zaro bir sathda kesishadigan, tutashadigan va ayriladigan joyi.
d0420	YHQ 42-band.
d0421	YHQ, 1-Ilova: 3.17.1. belgisi "Bojxona". Bojxona (tekshiruv maskani) oldida to'xtamasdan o'tish taqiqlanishini bildiradi.
d0422	YHQ, 1-Ilova: 3.20. belgisi "Quvib o'tish taqiqlangan". 3.22. "Yuk avtomobillarida quvib o'tish taqiqlangan".
d0423	"Avtotest 2.0" o'quv qo'llanmasi. 346 bet.
d0424	YHQ,1- bobi 6-band.Yo'l harakati xavfsizligini ta'minlash - yo'l-transport hodisalarining kelib chiqish sabablarini oldini olishga, ularning og'ir oqibatlarini kamaytirishga qaratilgan faoliyat.
d0425	YHQ 1-ilova2.5.belgisi "To'xtamasdan harakatlanish taqiqlangan" belgisi.
d0426	YHQ 171-band.
d0427	YHQ, 28-bobi 169-band. Chorrahadan tashqaridagi tartibga solinmagan velosiped yo'lkasi bilan yo'l kesishmasida velosiped va moped haydovchilari yo'lda harakatlanayotgan transport vositalariga yo'l berishlari kerak.
d0428	YHQ 54-band.
d0429	YHQ, 24 -bobi 143-band.Qattiq yoki egiluvchan ulagich yordamida shatakka olingan avtobusda, trolleybusda va yuk avtomobili yukxonasida odam tashish, qisman ortish yo'li bilan shatakka olishda esa shatakka olingan transport vositasining kabinasida va yukxonasida, shuningdek shatakka olgan transport vositasining yukxonasida odamlar bo'lishi taqiqlanadi.
d0430	YHQ, 1-ilova 5.40."Falokatli holatlar uchun kirish yo'li" belgisi.
d0431	YHQ 1-ilova 5-bo'lim 5.33 yo'l belgisi.
d0432	YHQ 45-band.
d0433	YHQ, 1-ilova 1.15. belgisi "Sirpanchiq yo'l". Yo'lning o'ta sirpanchiq bo'lgan qismini bildiradi.
d0434	"Avtotest"o'quv qo'llanmasi. 4.5-mavzu. 352 bet.
d0435	YHQ,10 bobi 75-band.Agar biror-bir to'siq sababli qarama-qarshi yo'nalishlarda harakatlanish qiyin bo'lsa, to'siq o'z tomonida bo'lgan haydovchi yo'l berishi kerak.
d0436	YHQ 1-ilova 5-bo'lim 5.35 yo'l belgisi.
d0437	YHQ 126-band.
d0438	"Avtotest 2.0" o'quv qo'llanmasi 352 bet
d0439	YHQ 107-band.
d0440	YHQ, 1.31. "Sun'iy yo'l notekisligi" belgisi.
d0441	YHQ11 bobi 79-band. Aholi punktlaridan tashqarida tirkamali yuk avtomobillariga tezlikni soatiga 70 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi.
d0442	V.I.Konoplyanko 13 bet. To'xtash yo'li deb haydovchining biror bir xatarni sezib, to transport vositasini to'liq to'xtatgunga qadar bosib o'tilgan masofaga aytiladi.Tormoz yo'li- haydovchi tormoz tepkisinibosgandan to avtomobil to'liq to'xtagunchabosib o'tilgan masofa.
d0443	YHQ, 1-bobi6-band. Mexanik transport vositasi - dvigatel bilan harakatga keltiriladigan transport vositasi (mopeddan tashqari). Bu atama barcha traktor va o'ziyurar moslamalarga ham taalluqlidir.
d0444	V.I.Konoplyanko 30 bet. Tezlikni oshirganda haydovchining ko'rish maydoni torayadi sabab shiddat bilan o'tayotgan masofani haydovchi barchasini qabul qila olmaydi, qamray olmaydi chunki u vaziyatni baxolashi kerak.
d0445	"Avtotest 2.0" o'quv qo'llanmasi. 367 bet.
d0446	YHQ 2-ilova: 2.5 chizig'i - yo'lning kichik radiusli burilish, tik nishablik va boshqa xavfli joylarda yo'l to'siqlarining yon yuzalarini bildiradi.
d0447	YHQ, 9- bobi63 band. Orqaga harakatlanish chorrahalarda taqiqlanadi.
d0448	Yu.V.Bashuev str.25 Yo'lning xavfli burilishlarida oldingi uzatmali avtomobilning orqa o'qi yon tomonga sirpanganda gaz pedalini ohista bosib avtomobilni rul chambaragini to'g'rilab avtomobilni sirpanishdan olib chiqib ketasiz.
d0449	YHQ 21-bobi 128 bandi: Yo'lning 1.13 va 1.14 yo'l belgilari bilan belgilangan qiyaliklarida, qarama-qarshi yo'nalishlarda harakatlanishni qiyinlashtiradigan biron-bir to'siq bo'lsa, nishablikka harakatlanayotgan transport vositasining haydovchisi yo'l berishi kerak.1 ilova: 2.7. "Ro'paradagi harakatlanishga nisbatan imtiyoz". Yo'lning tor qismida harakatlanishda haydovchi ro'paradan kelayotgan transport vositasiga nisbatan imtiyozga egaligini bildiradi.
d0450	"Avtotest 2.0" o'quv qo'llanmasi. 298 bet. Kunning qorong'i vaqtida harakatlanishda tezlikni to'g'ri tanlash asosiy masala hisoblanadi. Yo'lning ko'rinish masofasito'xtash yo'lidan oshmasligi kerak.
d0451	"Avtotest 2.0" o'quv qo'llanmasi. Bunday holatda avtomobilni moment kuchlar burib yuborishga moyil bo'ladi, shuning uchun uchinchi javobdagi usulni qo'llang.
d0452	YHQ 14 bobi96 band: Chapga yoki o'ngga burilayotgan haydovchi kesishayotgan yo'lning qatnov qismidan o'tayotgan piyoda(lar)ga, shuningdek velosiped yo'lkasidan yo'lni kesib o'tayotgan velosipedchi(lar)ga yo'l berishi kerak.
d0453	YHQ, 1 ilova: 7.6.1.belgisi " Transport vositasini to'xtab turish joyiga qo'yish usuli". Barcha turdagi transport vositalarining to'xtab turish uchun yo'lning qatnov qismida, trotuar yoniga qo'yish usulini ko'rsatadi.
d0454	YHQ14-bobi 98 bandi:Aylanma harakatlanish chorrahasida harakatlanayotgan transport vositalari aylanaga kirib kelayotgan transport vositalariga nisbatan ustunlikka (imtiyozga) ega.
d0455	"Avtotest 2.0" o'quv qo'llanmasi. 355 bet. Muskul va paylarning ezilishi hamda cho'zilishi alomatlari quydagicha - jarohatlangan joyda shish , og'riq seziladi, ba'zan shu joyda mayda kapillyar qon tomirlari yorilib, qon quyilishi natijasida ko'karish paydo bo'ladi.
d0456	YHQ 1-bobi6-band. Aholi punkti - kirish va chiqish yo'llari 5.22 - 5.25 yo'l belgilari bilan belgilangan hudud.
d0457	V.I.Konoplyanko 62 bet. Bunday samarali tormozlash usulini mexanik uzatmali avtomobillarda haydovchi tik nishabliklarda qo'llashi mumkin, yoki avtomatlashtirilgan uzatmada qo'l bilan boshqarish tizimiga o'tish maqsadga muvofiqdir.
d0458	"Avtotest 2.0" o'quv qo'llanmasi. 347 bet.
d0459	YHQ 78-band.
d0460	YHQ 1-ilova 1.31. "Sun'iy yo'l notekisligi" belgisi.
d0461	YHQ 1-ilova 4-bo'lim 4.2.3 yo'l belgisi.
d0462	YHQ 1 ilova: 3.24.belgisi "Yuqori tezlik cheklangan". Belgida ko'rsatilganidan ortiq tezlikda (km/s) harakatlanish taqiqlanishini bildiradi. 7.16. "Nam qoplama". Belgi qatnov qismining qoplamasi nam bo'lgan vaqtda ta'sir etishini ko'rsatadi
d0463	YHQ 1 ilova: 3.28.belgisi "To'xtab turish taqiqlangan". Transport vositalarining to'xtab turishi taqiqlanishini bildiradi.
d0464	YHQ 1 ilova: 3.32. belgisi "Xavfli yuk tashiyotgan transport vositasining harakati taqiqlangan".
d0465	YHQ 13-bobi 91 band. Quyidagi joy va holatlarda to'xtash taqiqlanadi: transport vositasi svetofor ishoralari, yo'l belgilarini boshqa haydovchilardan to'sib qo'yadigan, boshqa transport vositalarining harakatlanishiga (kirish va chiqishiga) imkon qoldirmaydigan yoki piyodalarning harakatiga xalaqit beradigan joylarda;
d0466	YHQ 1 ilova: 2.3.1.belgisi "Ikkinchi darajali yo'l bilan kesishuv".
d0467	YHQ 1 ilova: 3.4.belgisi "Yuk avtomobillarining harakatlanishi taqiqlangan". To'la vazni 3,5 tonnadan (agar vazni belgida ko'rsatilmagan bo'lsa) yoki to'la vazni belgida ko'rsatilgandan ortiq bo'lgan yuk avtomobillari va transport vositalari tarkiblarining, shuningdek traktorlar, o'ziyurar moslamalarning harakatlanishi taqiqlanishini bildiradi.
d0468	YHQ 1 ilova: 5.42.belgisi"Qizil chiroqda o'ngga harakatlanish". Transport svetofori qizil chirog'ining o'ng yoniga 5.42 yo'l belgisi o'rnatilgan bo'lsa, transport vositalarining haydovchilari svetoforning taqiqlovchi ishorasi yonib turganda, barcha xavfsizlik choralarini ko'rgan holda o'ngga burilishlari mumkin. Bunda ular harakat yo'nalishi bo'yicha va burilayotgan ko'chani kesib o'tayotgan piyodalarga hamda boshqa transport vositalariga yo'l berishlari shart.
d0469	YHQ 7-bobi38 bandi.Tartibga soluvchining ishoralari quyidagi ma'noni bildiradi:qo'llari yon tomonga uzatilganda yoki tushirilganda:chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat beriladi;old va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi;o'ng qo'li oldinga uzatilganda:chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo'nalishlarda;oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat beriladi;orqa tomonidan va o'ng yonidan barcha transport vositalarining harakatlanishi taqiqlanadi;piyodalarga tartibga soluvchining orqa tomonidan qatnov qismini kesib o'tishga ruxsat etiladi;
d0470	YHQ 1 ilova: 7.1.3, 7.1.4.belgilari"Ob'ektgacha bo'lgan masofa". Yo'ldan chetda joylashgan manzilgacha bo'lgan masofani bildiradi..
d0471	YHQ 1 ilova:2.3.2, 2.3.3.belgilari "Ikkinchi darajali yo'l bilan tutashuv". 2.3.2 - tutashuv o'ngdan, 2.3.3 - tutashuv chapdan. 2.3.1 - 2.3.3 yo'l belgilari aholi punktlarida kesishmagacha 50 - 100 metr masofada, aholi punktlaridan tashqarida esa 150 - 300 metr masofada o'rnatiladi
d0472	YHQ 14-bobi98 bandi:Harakatlanish navbati svetofor yoki tartibga soluvchining ishoralari orqali aniqlanib boshqarilayotgan chorraha - tartibgasolingan chorrahahisoblanadi. Miltillovchi sariq ishora yonib-o'chayotgan, svetoforlar ishlamayotgan yoki tartibga soluvchi bo'lmagan chorraha - tartibga solinmagan chorraha hisoblanadi. Haydovchilar tartibga solinmagan chorrahalardan o'tish qoidalariga hamda chorrahada o'rnatilgan imtiyoz belgilariga amal qilishlari shart.
d0473	YHQ 1 ilova, 5.15 va 5.41 belgilari
d0474	YHQ 2 ilova: 2.5 chizig'i - yo'lning kichik radiusli burilish, tik nishablik va boshqa xavfli joylarda yo'l to'siqlarining yon yuzalarini bildiradi.
d0475	YHQ 8-bobi 45 bandi: Haydovchi harakatlanishni boshlashdan, qayta tizilishdan, burilish (qayrilib olish)dan va to'xtashdan oldin tegishli yo'nalishni ko'rsatuvchi yorug'lik ishoralarini yoqishi, ular bo'lmaganda yoki ishlamaganda qo'l bilan ishoralar berishi shart. To'xtash ishorasi chap yoki o'ng qo'lni yuqoriga ko'tarib beriladi.
d0476	YHQ 1 ilova:1.11.1, 1.11.2.belgilari "Xavfli burilish". 1.11.1 - o'ngga, 1.11.2 - chapga yo'l belgilari yo'lning kichik radiusli yoki ko'rinishi cheklangan burilish joyini bildiradi.
d0477	YHQ 16-bobi 105 bandi: Teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham o'zaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'iy nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi.
d0478	YHQ 10-bobi 73 band-Haydovchi o'zidan oldinda harakatlanayotgan transport vositasi keskin tormoz berganida to'qnashib ketmaslik kafolatini beradigan darajadagi oraliq masofani, shuningdek yo'l harakati xavfsizligini ta'minlaydigan yonlama oraliq masofani saqlashi kerak.
d0479	YHQ 1-ilova 1-bo'lim 1.34 yo'l belgisi.
d0480	YHQ 7-bobi 38 bandi.Tartibga soluvchining ishoralari quyidagi ma'noni bildiradi:qo'llari yon tomonga uzatilganda yoki tushirilganda:chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat beriladi;old va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi;o'ng qo'li oldinga uzatilganda:chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo'nalishlarda;oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat beriladi;orqa tomonidan va o'ng yonidan barcha transport vositalarining harakatlanishi taqiqlanadi;piyodalarga tartibga soluvchining orqa tomonidan qatnov qismini kesib o'tishga ruxsat etiladi;
d0481	V.I.Konolplyanko 17 bet. Avtomobil og'irlik markazi qancha pastda bo'lsa va undagi yuklar to'g'ri (simmetrik) joylashsa u shuncha turg'unroq bo'ladi. Yuksizyo'lovchisiz avtomobil yo'lovchisi bor va yuki bor avtomobilga nisbatan turg'unroqdir
d0482	YHQ 16-bobi104, 107 bandlari: Teng ahamiyatga ega bo'lmagan yo'llar kesishgan chorrahada, ikkinchi darajali yo'lda harakatlanayotgan transport vositasining haydovchisi asosiy yo'ldan yaqinlashayotgan transport vositalariga, ularning keyingi harakat yo'nalishidan qat'iy nazar, yo'l berishi kerak.Chapga burilishda yoki qayrilib olishda relssiz transport vositasining haydovchisi teng ahamiyatli yo'ldan qarama-qarshi yo'nalishdan to'g'riga yoki o'ngga harakatlanayotgan, shuningdek ruxsat etilgan hollarda quvib o'tayotgan transport vositalariga yo'l berishi shart.
d0483	YHQ 9-bobi59 band2 xat boshi: Chorrahadan tashqaridagi qatnov qismining kengligi chetki chap holatdan qayrilib olish uchun etarli bo'lmasa, ushbu manyovrni qatnov qismining o'ng chetidan (yo'lning o'ng yoqasidan) amalga oshirish mumkin. Bu holda haydovchi bir yo'nalishdagi va qarama-qarshi yo'nalishdagi transport vositalariga yo'l berishi shart.Eng maqbul va xavfsiz qayrilib olish o'ng tomondagi suratda ko'rsatilgan.Bunday vaziyatda ko'rish maydoni keng va kam harakat talabetiladi
d0484	YHQ 24-bobi 143 band: Qattiq yoki egiluvchan ulagich yordamida shatakka olingan avtobusda, trolleybusda va yuk avtomobili yukxonasida odam tashish, qisman ortish yo'li bilan shatakka olishda esa shatakka olingan transport vositasining kabinasida va yukxonasida, shuningdek shatakka olgan transport vositasining yukxonasida odamlar bo'lishi taqiqlanadi.
d0485	YHQ9-bobi 63 band-Transport vositasini orqaga harakatlantirishda haydovchi yo'l harakati xavfsizligini ta'minlashi va boshqa yo'l harakati qatnashchilariga xalaqit bermasligi shart. Zarurat tug'ilganda haydovchi boshqa shaxslarning yordamidan foydalanishi kerak. Orqaga harakatlanish chorrahalarda va ushbu Qoidalarning 62-bandiga muvofiq qayrilib olish mumkin bo'lmagan joylarda taqiqlanadi.
d0486	YHQ 1-bobi6 band -Umumiy qoidalar: Qatnov qismi - yo'lning relssiz transport vositalari harakati uchun mo'ljallangan qismi .
d0487	YHQ 1-ilova 1-bo'lim 1.4.1 - 1.4.6 yo'l belgilari.
d0488	YHQ 57-band.
d0489	V.I.Konoplyanko 63 bet. Qiyalikda avtomobilni nazarda tutilmagan g'ildirab ketishini oldini olish uchun avtomobil g'ildiraklarini nishablik tomon yo'l cheti tosh bordyurga burib tirab qo'yish (A) va aksincha orqaga g'ildirab ketishni oldini olish uchun oldingi g'ildiraklarni orqa tomoni tosh bordyurga taqab qo'yish (V) avtomobilni joyidan qo'zg'almaslikni qo'shimcha choralari bo'lib xizmat qiladi
d0490	YHQ 16-bobi 105 va 107-bandlar: Teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan kelayotgan transport vositalariga yo'l berishi shart. Chapga burilishda yoki qayrilib olishda relssiz transport vositasining haydovchisi teng ahamiyatli yo'ldan qarama-qarshi yo'nalishdan to'g'riga yoki o'ngga harakatlanayotgan, shuningdek ruxsat etilgan hollarda quvib o'tayotgan transport vositalariga yo'l berishi shart.
d0491	YHQ 9-bobi 59 va 53, 54-bandlar: Chap tarafdagi suratda Siz yondosh xududdan chiqishda vaziyatni to'liq nazorat qila olasiz. O'ngtomondagi suratda yo'lgaorqa tomon bilanchiqish siz uchun nisbatan xavfli, chunki yo'lniharakat qismida orqa bilanharakatlanayapsiz, shu bilan bir qatorda ko'rish maydoni cheklangan.
d0492	YHQ 162-band.
d0493	YHQ 3 ilova 7.22 band: M toifasi - kamida to'rt g'ildirakka ega bo'lgan va yo'lovchilarni tashish uchun foydalaniladigan mexanik transport vositalari, shu jumladan:M1 toifasi - yo'lovchilarni tashish uchun foydalaniladigan va haydovchining o'rindig'idan tashqari o'rindiqlar soni 8 tadan oshmaydigan avtotransport vositalari.
d0494	YHQ 16-band.
d0495	YHQ 1 ilova: 7.12. belgisi "Xavfli yo'l yoqasi". Yo'l ishlari bajarilayotgani sababli yo'l yoqasiga chiqish xavfli ekanligi haqida ogohlantiradi. 1.23 belgisi bilan qo'llaniladi.
d0496	YHQ 17-bobi 112 band: Piyodalar o'tish joylaridan keyin paydo bo'lgan tirbandlik tufayli haydovchi piyodalar o'tish joyida to'xtashga majbur bo'ladigan bo'lsa, piyodalar o'tish joyiga kirish taqiqlanadi.
d0497	"Avtotest 2.0" o'quv qo'llanmasi. 351 bet. Yurak-o'pka reanimatsiyasi faqat jabrlanuvchida hayot alomatlari yo'q bo'lganda amalga oshiriladi: hushidan ketish, uyqu arteriyasida puls yo'qligi, nafas olish to'xtashi.
d0498	YHQ 3 ilova: 7.10 - band
d0499	YHQ 6-bobi24 band: Yo'lovchilarga quyidagilar taqiqlanadi:transport vositasi harakatlanayotgan vaqtda haydovchini boshqarishdan chalg'itish va unga xalaqit berish;harakatlanayotgan bortli yuk avtomobillarida tik turish, bortlarda yoki undan yuqoridagi yuk ustida o'tirish;transport vositasi harakatlanayotgan vaqtda uning eshiklarini ochish;transport vositasi harakatlanayotgan vaqtda salondan tana qismlarini (qo'ldan tashqari) chiqarish.
d0500	YHQ 7-bobi 43 band: Svetofor ishoralari imtiyoz belgilari talablariga zid kelgan hollarda haydovchilar svetofor ishoralariga amal qilishlari kerak.
d0501	YHQ 20-bobi 126-band. Turar joy dahalaridan chiqishda haydovchilar boshqa harakat qatnashchilariga yo'l berishlari kerak.
d0502	YHQ 16-bobi 104, 106 bandlari: Teng ahamiyatga ega bo'lmagan yo'llar kesishgan chorrahada, ikkinchi darajali yo'lda harakatlanayotgan transport vositasining haydovchisi asosiy yo'ldan yaqinlashayotgan transport vositalariga, ularning keyingi harakat yo'nalishidan qat'iy nazar, yo'l berishi kerak. Asosiy yo'lning yo'nalishi chorrahada o'zgarganda asosiy yo'lda harakatlanayotgan haydovchilar o'zaro teng ahamiyatli yo'llar chorrahasidan o'tish qoidasiga amal qilishlari kerak.
d0503	YHQ 29-bobi 177 band: Mexanik transport vositalarini shatakka olishda egiluvchan ulagichni ko'rsatadigan ogohlantiruvchi, o'lchami 200 x 200 millimetr bo'lgan, diagonali bo'yicha ketma-ket joylashgan 50 millimetr qalinlikdagi qizil va oq rangli chiziqlar tushirilgan, yorug'lik qaytaradigan yuzali bayroqchalar yoki taxtachalar shaklidagi ogohlantiruvchi qurilmalar o'rnatilishi kerak.Egiluvchan ulagichga kamida ikkita ogohlantiruvchi qurilma o'rnatiladi.
d0504	V.I.Konoplyanko 60 bet. Ushbu holatda Siz yo'lning sirpanchiq qismidan harakatlanish yo'nalishi va tezligini o'zgartirmasdan ehtiyotkorlik bilan o'tib ketishingiz lozim bo'ladi
d0505	YHQ 2-ilova 1-bo'lim 1.20 yotiq chizig'i.
d0506	YHQ 20-bobi 123-band-Turar joy dahalari (kirish va chiqish 5.38 va 5.39 yo'l belgilari bilan belgilangan hududlar)da piyodalarga trotuarlar hamda qatnov qismida harakatlanishga ruxsat etiladi. Bunda piyodalar imtiyozga ega bo'ladilar, biroq ular transport vositalarining harakatlanishiga asossiz xalaqit bermasliklari kerak.
d0507	YHQ 19-bobi121-band. Avtomagistrallarda piyodalar, uy hayvonlari, ot-aravalar, velosipedlar, mopedlar, traktorlar va o'zi yurar avtomobillar, texnik tavsifnomasiga yoki holatiga ko'ra tezligi soatiga 40 kilometrdan kam bo'lgan transport vositalarining harakatlanishi taqiqlanadi.
d0508	YHQ 2-ilova 1-bo'lim 1.28 yotiq chizig'i.
d0509	YHQ 8-bobi 48 band: Tovushli ishoralar faqat quyidagi hollarda qo'llanilishi mumkin:aholi punktlaridan tashqarida boshqa haydovchilarni quvib o'tish haqida ogohlantirish uchun;zarur bo'lgan hollarda yo'l-transport hodisasining oldini olish uchun
d0510	"Avtotest 2.0" o'quv qo'llanmasi. 363 bet.Qo'l oyoq uchlari( tirsakdan past qismi, boldir) sinishida transport shinalari yoki ularni qo'lda yasash uchun vositalar bo'lmasa qo'llarni tirsakdan bukib, ro'molga osgan holda tanaga bog'lash, oyoqlarni orasiga albatta yumshoq mato qo'yib bir-biriga bog'lash kerak
d0511	YHQ 1-bobi 6 band Umumiy qoidalar: Yo'nalishli transport vositasi - belgilangan yo'nalishi va bekatlari bo'lgan, yo'lovchi tashish uchun mo'ljallangan umum foydalanishdagi transport vositalari (trolleybus, tramvay, avtobus, yo'nalishli taksi).
d0512	YHQ 1 ilova: 2.5.belgisi "To'xtamasdan harakatlanish taqiqlangan" belgisi. To'xtash chizig'i oldida, agar u bo'lmasa, kesib o'tiladigan qatnov qismining chetida to'xtamasdan harakatlanish taqiqlanadi. Haydovchi kesib o'tilayotgan yo'ldan, 7.13 qo'shimcha-axborot belgisi bo'lganda esa asosiy yo'ldan harakatlanayotgan transport vositalariga yo'l berishi kerak.
d0513	YHQ 1 ilova: 3.24 yo'l belgisi belgi o'rnatilgan joydan keyingi eng yaqin chorrahagacha, chorrahasi bo'lmagan aholi punktlarida aholi yashaydigan hududning oxirigacha ta'sir qiladi ("B").Belgining ta'sir doirasi 7.2.1 qo'shimcha axborot belgisi bilan aniqlashtirilishi mumkin ("A"). Bunda belgining tasir doirasi belgi o'rnatilgan joydan 100 m gacha davom etadi. ("V") belgi ostidagi 7.1.1 "Ob'ektgacha bo'lgan masofa" qo'shimcha axborot belgisi belgi o'rnatilgan joydan tasir doirasi kuchga kiradigan joygacha bo'lgan masofani bildiradi.
d0514	YHQ 16-bobi 105 -band: Teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan kelayotgan transport vositalariga yo'l berishi shart.
d0515	YHQ 153-band.
d0516	YHQ 2-ilova 1-bo'lim 1.14.4 yotiq chizig'i.
d0517	YHQ 91-band
d0518	YHQ 1-ilova 7-bo'lim.
d0519	YHQ 1-ilova 5-bo'lim 5.3 yo'l belgisi.
d0520	YHQ 7-bobi36 bandi: Tramvaylarning hamda maxsus ajratilgan bo'lak bo'ylab harakatlanayotgan yo'nalishli transport vositalarining harakatlanishini tartibga solish uchun "T" - harfi ko'rinishida joylashgan to'rtta doirasimon oq rang ishorali svetoforlar qo'llanilishi mumkin.Yuqoridagi bir yoki bir nechta va pastki ishora bir vaqtning o'zida yonganda, harakatlanishga ruxsat etiladi. Ulardan chapdagisi chapga, o'ngdagisi o'ng tomonga burilishga, o'rtadagisi to'g'riga yurishga ruxsat beradi. Agar yuqoridagi uchta ishora bir vaqtda yonsa, harakatlanish taqiqlanadi.
d0521	YHQ 1-ilovasining 1-bo'limi izohining 1-xatboshiga asosan, 1.1, 1.2, 1.5-1.30 ogohlantiruvchi belgilar aholi punktlarida xavfli joydan 50-100 metr, aholi punktlaridan tashqarida esa 150-300 metr oldin o'rnatiladi. Zarurat bo'lganda bu belgilar 7.1.1 qo'shimcha axborot belgida ko'rsatilgan boshqa masofada ham o'rnatilishi mumkin.
d0522	YHQ 2-ilova 1-bo'lim 1.27 yotiq chizig'i.
d0523	YHQ 1-ilova 5-bo'lim 5.8.1 yo'l belgisi
d0524	YHQ 1-ilova 3-bo'lim 3.18.2 yo'l belgisi.
d0525	YHQ 119-band.
d0526	YHQ 1-ilovasining 5-bo'limidagi 5.11.1 belgi "Qayrilish joyi" belgisi bo'lib, chapga burilishni taqiqlaydi.
d0527	YHQ 1-ilova 5-bo'lim 5.46 yo'l belgisi.
d0528	YHQ 28-band.
d0529	V.I.Konoplyanko 13 bet. Haydovchini tormoz pedalini bosgandan boshlab avtomobilni to'xtaguncha bosib o'tgan yo'li "tormoz yo'li" deb ataladi.
d0530	YHQ 160-band.
