o0001	Qizilga
o1242	Haydashni o'rgatish huquqini beruvchi hujjatlari bo'lgan haydashni o'rgatuvchi yo'riqchi
o1243	Tajribali haydovchi
o1244	3 yillik ishlagan davri bo'lgan haydovchi
o1245	5 yil haydovchilik ishlagan davriga ega bo'lgan 1 - va 2 - toifa haydovchilar
o1246	Ishora taxtachalari yoki bayroqchalar (diagonal bo'yicha navbatma-navbat tortilgan qizil va oq yo'lli) bilan
o1247	"Katta o'lchamli yuk" taniqli belgisi bilan belgilanishi, qo'shimcha ravishda oldiga oq, orqasiga esa qizil chiroqlar yoki yorug'lik qaytargich bilan
o1248	Orqasiga qizil, oldiga oq bayroqchalar bilan
o1249	Transport vositasining yuk ko'tarishi
o1250	Transport vositasining haqiqiy vazni
o1251	Aslahalangan transport vositasining ishlab chiqaruvchi korxona tomonidan belgilangan, yuk, haydovchi va yo'lovchilari bilan birgalikdagi eng yuqori vazni (o'lchovi). Bir tarkibda harakatlanayotgan (tirkama va h.k.) transport vositalarining ruxsat etilgan to'la vazniga shu tarkibga kiruvchi transport vositalarining ruxsat etilgan to'la vaznlari yig'indisi kiradi
o1252	Transport vositasida tashiladigan yukning ishlab chiqargan korxona yo'l qo'ygan texnik tavsifnomasi sifatida belgilanadigan vazni
o1253	Faqat avtomobil haydovchisiga
o1254	Faqat avtomobil va motosikl haydovchilariga
o1255	Barcha transport vositalarining haydovchilariga
o1256	Faqat avtomobil va avtobus haydovchilariga
o1257	Agar avtomagistralda harakatlanish serqatnov bo'lsa, taqiqlanadi
o1258	Yashil avtomobil ayni vaqtda 2-tramvay bilan; 1-tramvay, ko'k, sariq, qizil avtomobillar
o1259	1- va 2-tramvaylar ayni vaqtda sariq avtomobil bilan, yashil, ko'k, qizil avtomobillar
o1260	Tramvay va motosikl
o1261	Tramvay, yuk avtomobili va motosikl
o1262	To'xtashi va orqasida to'planib qolgan transport vositalarini o'tkazib yuborishi
o1263	Harakatni davom ettirishi
o1264	40 km/soatdan kam tezlik bilan harakatlanayotgan faqat yakka transport vositalariga ruxsat etilgan
o1265	Hamma hollarda ruxsat etilgan
o1266	Burilishning chap ko'rsatkichini yoqish va qatnov qismida qulay joylashib olishdan foydalanib, manyovr qilishga kirishish
o1267	Sizning ortingizdan kelayotgan haydovchi sizni quvib o'tib ketgandan so'nggina burilishning chap ko'rsatkichini yoqish
o1268	Burilishning chap ko'rsatkichini yoqish, o'zini quvib o'tishga imkon berishi va so'ng manyovr qilishga kirishish
o1269	Tormoz barabanlarining qizib ketishiga
o1270	Naqsh izlarining ko'chib ketishiga
o1271	Avtomobilning ag'darilib ketishi mumkin darajada sirpanib ketishiga
o1272	Agar bort balandligidan pastda joylashgan qulay o'rindiq bo'lsa ruxsat beriladi
o1273	Egallagan harakatlanish tasmasidan chiqib oldinda ketayotgan transport vositasidan o'zib ketish
o1274	Bir yoki bir nechta transport vositalarini qarama-qarshi yo'nalishda harakatlanish uchun mo'ljallangan tasmaga chiqib, so'ngra ilgari egallagan qatoriga qaytib o'tish bilan bog'liq bo'lgan o'zib ketish
o1275	Kam tezlik bilan qo'shni qatorda harakatlanayotgan bir yoki bir qancha transport vositalaridan o'zib ketish
o1276	Asosiy tasma bo'yicha, agar unda boshqa transport vositalari yo'q bo'lsa, harakatlanishni davom ettirishi
o1277	Qo'shimcha tasmaga qayta tizilishi
o1278	Agar balandlikning davomliligi 30 m dan oshmasa, asosiy tasma bo'yicha harakatlanishni davom ettirishi
o1279	Sariq chorrahaga chiqadi va yashilni o'tkazib yuborish uchun to'xtaydi; yashil, ko'k ayni vaqtda qizil bilan, sariq
o1280	Ko'k, ayni vaqtda qizil bilan, yashil, sariq
o1281	Yashil, ko'k ayni vaqtda qizil, so'ng sariq
o1282	Faqat motosikl haydovchisi
o1283	Faqat avtomobil haydovchisi
o1284	Hech kim buzmadi
o1285	Qat'iy tasmalar bo'yicha, uzuq-uzuq chiziqni kesib o'tishga faqat qayta tizilishda ruxsat etiladi
o1286	Agar qatnov qismi transport vositalaridan xoli bo'lsa, tasma bo'yicha qat'iy emas
o1287	Agar transport vositalarining o'lchamlari eniga katta bo'lmasa, tasma bo'yicha qat'iy emas
o1288	Agar qatnov qismida tirkamali avtomobillar bo'lmasa va bunda ancha tor harakat oralig'ini saqlash mumkin bo'lsa, tasmalar bo'yicha qat'iy emas
o1289	Singan joyga qo'yiladigan shina yoki uning o'rnini bosuvchi narsani siqib bog'lash kerak
o1290	Shinani ikki tomondan butun boldir uzunligida tovondan to tizza bo'g'inigacha qo'yish kerak
o1291	Tovon tagidan to son o'rtasigacha oyoqning ichki va tashqi tomonidan ikkita shina qo'yish kerak. Singan joyni, tizza va boldir-oyoq kafti bo'g'inlarini qimirlatmaslik lozim
o1292	Yoritish chiroqlari yo'nalishi buzilgan bo'lsa
o1293	Tashqi yoritish asboblari va yorug'lik qaytargichlar ifloslanganda
o1294	Yoritish asboblari o'rnida mazkur yoritish asboblarining to'g'riga mos kelmaydigan lampalardan foydalanilganda
o1295	Trolleybus yoki avtobus to'xtash joylarini bildiradi
o1296	Marshrutdan boshqa barcha transport vositalariga yo'lning o'ng qatori bo'yicha harakatlanishni taqiqlaydi
o1297	Yukxonasida odam tashishga moslashtirilgan maxsus yuk avtomobillarida
o1298	Furgon-yukxonada mahsulotlar tashiydigan avtomobillarga
o1299	"Aloqa" yozuvi bo'lgan avtomobillarga
o1300	Agar temir yo'l boshlig'ining ruxsati bo'lsa, ruxsat etiladi
o1301	Mexanik transport vositalariga yuklab olib o'tishga ruxsat etiladi
o1302	To'g'riga va o'ngga birinchi yo'nalishga
o1303	O'ngga birinchi yo'nalishga
o1304	O'ngga ikkinchi yo'nalishga
o1305	O'ngga birinchi va ikkinchi yo'nalishga
o1306	Ikki g'ildirakli kajavasiz motosikllardan tashqari hamma mexanik transport vositalarining harakatlanishini taqiqlaydi
o1307	G'ildirakli traktorlardan tashqari hamma transport vositalarining harakatlanishini taqiqlaydi
o1308	Traktorlar va o'zi yurar mashinalarning harakatlanishi taqiqlanadi
o1309	Ko'k avtomobil, tramvay, qizil avtomobil
o1310	Tramvay, qizil, so'ngra ko'k avtomobil
o1311	Tramvay, ko'k avtomobil chorrahaga chiqadi, qizilga yo'l beradi, so'ngra burilishni tugallaydi
o1312	1-3 m
o1313	2-4 m
o1314	3-6 m
o1315	4-6 m
o1316	4-8 m
o1317	Hisoblanmaydi
o1318	Hisoblanadi
o1319	Faqat yengil avtomobillarga
o1320	Yengil avtomobillarga va motosikllarga
o1321	Yengil avtomobillarga va yuk avtomobillariga
o1322	Faqat shu yo'nalishda harakatlanish uchun ikki yoki undan ortiq tasma bo'lgan yo'l bo'yicha harakatlanganda ruxsat etiladi
o1323	Yo'l chetida
o1324	To'xtab turish maydonchalarida yoki yo'ldan tashqarida
o1325	Yo'l qatnov qismining o'ng tomonida, biroq boshqa transport vositalarining harakatlanishiga to'sqinlik qilmasligi kerak
o1326	Yo'lning chap tomonida, biroq harakat xafvsizligi choralariga rioya qilgan holda
o1327	Yaxmalakda qattiq ulagichda
o1328	Yaxmalakda egiluvchan ulagichda
o1329	Yon kajavali motosikllar bilan
o1330	"А", "Б", "В"
o1331	Tuproqli yo'lga nisbatan qoplamali yo'l yoki tegishli belgilar bilan belgilangan yo'l
o1332	Uch tomonlama chorrahada tutashib kelgan yo'lga nisbatan har ikki tomonga davom etuvchi yo'l
o1333	Har bir yo'nalishda harakatlanish uchun bir tasmali yo'lga nisbatan ko'p tasmali qatnov qismi bo'lgan yo'l
o1334	Yo'lovchilarni tushiradigai barcha transport vositalariga
o1335	Avtobuslarga va trolleybuslarga
o1336	Faqat belgilangan yo'nalishdagi transport vositalariga va yo'nalishsiz yengil taksilarga
o1337	3 km/s
o1338	5 km/s
o1339	8 km/s
o1340	10 km/s
o1341	Yo'l berishi kerak
o1342	Birinchi galda harakatlanishga ustunlikka ega
o1343	Faqat to'la vazni 3,5 tonnagacha bo'lgan transport vositalariga ruxsat etiladi
o1344	Yo'l qo'yiladi, agar bu piyodalarning harakatiga xalal bermasa
o1345	Yo'l qo'yilmaydi, chunki bu piyodalarning hayotini xavf ostiga qo'yishi mumkin
o1346	Bevosita shu trotuar yoki yo'lkalarda joylashgan savdo yoki boshqa korxonalarga xizmat ko'rsatishda yo'l qo'yiladi
o1347	Trotuarda turgan boshqa transport vositasini aylanib o'tish uchun yo'l qo'yiladi
o1348	Yon kajavali motosikllarga ruxsat etiladi
o1349	Tekis joylarda ruxsat etiladi
o1350	Yon kajavasi bo'lmagan motosikllarga ruxsat etiladi
o1351	Oxiri berk ko'chaga olib boradigan yo'lni
o1352	Aholi yashaydigan joydagi manzilga tomon harakatlanish yo'nalishini
o1353	Balandlikda yoki tezlanish tasmasida qo'shimcha tasmaning tugaganini
o1354	Egiluvchi va qattiq ulagichda ruxsat etiladi
o1355	To'xtab turish paytida yurgizgichni o'chirish taqiqlanadi
o1356	Yurgizgichni o'chirish sharti bilan to'xtab turish
o1357	Belgilangan yo'nalishdagi transport vositalari harakatlanadigan tasmani
o1358	Maxsus avtomobillar harakatlanadigan tasmani
o1359	Reversiv harakatlanish tasmasining chegarasini
o1360	Qizil avtomobil ayni vaqtda ko'k bilan
o1361	Shlagbaumning holatiga va yorug'lik ishorasiga
o1362	Yo'l belgilari va chiziqlariga
o1363	Temir yo'l kesishmasi navbatchisining ko'rsatmalari va ishoralariga
o1364	Barcha sanab o'tilgan talablarga
o1365	Quvib o'tayotgan transport vositasidan ancha tezroq harakatlanishiga
o1366	Shu tasma bo'yicha oldinda harakatlanayotgan transport vositasining haydovchisi chapga burilish (qayta tizilish) haqida ishora bermaganiga
o1367	U chiqishga mo'ljallangan yo'l qismi 1000 m masofada bo'sh ekanligiga
o1368	3,0 m
o1369	6,0 m
o1370	Ko'z o'ngi qorong'ilashadi, bosh aylanadi, muvozanat yo'qoladi, yiqiladi. Tomir urishi sekinlashadi. Oyoq-qo'l soviydi
o1371	Mastga o'xshab harakatlanadi, bosh aylanadi, og'riydi, ko'ngil ayniydi, qayt qiladi, mushaklari tortishadi. Nafas olish sekinlashadi
o1372	"С" toifadagi transport vositasini boshqarish huquqi guvohnomasi bo'lib, shu avtomobilda uch yillik ish davriga ega bo'lgan haydovchilarga
o1373	"D" va "С" toifadagi transport vositalarini boshqarish huquqiga ega bo'lgan va shu toifadagi transport vositalaridan birini 3 yildan ortiq boshqargan haydovchilarga
o1374	Oqshomdan tonggacha bo'lgan vaqt
o1375	Ko'rinish 150 m. dan kam bo'lgan holat
o1376	Tuman tushganda, yomg'ir, qor yog'ayotganda va hokazo sharoitlarda, shuningdek kunning g'ira-shira vaqtida yo'lning ko'rinishi 300 m. dan kam bo'lishi
o1377	Yomg'ir, qor yog'ishi, oqshom
o1378	"To'xtash taqiqlangan"
o1379	"To'xtab turish taqiqlangan"
o1380	"Oyning toq sonli kunlarida to'xtab turish taqiqlangan"
o1381	1 m
o1382	Tramvayga va motosiklga
o1383	Motosiklga, yengil avtomobilga va yuk avtomobiliga
o1384	40 km/soatdan oshirmasdan
o1385	60 km/soatdan oshirmasdan
o1386	Tashish shartlari bilan kelishilganda Davlat YHX xizmati ruxsat etganidan oshirmasdan
o1387	Qizil va oq rangli chiziqlar tushirilgan, yorug'lik qaytaradigan yuzali, bayroqchalar yoki taxtachalar bilan
o1388	Transport vositasi orqasiga mustahkamlangan falokat to'xtash belgisi bilan belgilanishi kerak
o1389	Transport vositasi oldi tomoni oq rangli, orqasi qizil rangli fonarlar bilan belgilanishi kerak
o1390	Transport vositalari va piyodalarning harakati serqatnov joylarda
o1391	Ko'priklarda, estakadalarda va osma yo'llarda, bir yo'nalishda uchdan kam tasmasi bo'lgan harakatlanish tasmasi bo'lganda
o1392	Kesishayotgan qatnov qismi chetiga 30 m dan ko'proq masofa qolganda
o1393	Agar shatakka olgan transport vositasining haqiqiy vazni shatakka olinuvchi transport vaznidan ikki barobar ortiq bo'lsa, qattiq ulagich bilan
o1394	Faqat qattiq ulagichda
o1395	Agar shatakka olingan transport vositasida haydovchi bo'lsa har qanday usul bilan
o1396	Faqat unga qisman ortish usuli bilan
o1397	Yurgizgich ishida nuqson bo'lganda
o1398	Uzatish qutisida shovqin bo'lganda
o1399	Davlat davriy texnik ko'rigidan belgilangan tartibda o'tmaganda
o1400	Oxirgi
o1401	To'g'ri va o'ngga
o1402	To'g'riga, o'ngga va chapga
o1403	Haqiqiy vazni 12 t bo'lgan ikki o'qli yuk avtomobiliga
o1404	Haqiqiy vazni 12 t bo'lgan uch o'qli yuk avtomobiliga
o1405	Svetoforning yashil yoritkichi yoqilganda harakatlanishning ruxsat etilgan yo'nalishlari haqida
o1406	Svetoforning qizil va sariq yoritkichlarida harakatlanishning ruxsat etilgan yo'nalishlari haqida
o1407	Ma'muriyatning ko'rsatmasi bilan
o1408	Tashishning zarurligi bilan
o1409	Jihozlangan o'rindiqlarning soni bilan
o1410	Haydovchining qarori bilan
o1411	Qizil
o1412	Har ikkisi buzgan
o1413	Hech qaysisi buzmadi
o1414	Faqat ko'rinish yetarli bo'lmagan sharoitlarda
o1415	Faqat harakat serqatnov bo'lganda
o1416	Tashish amalga oshirilayotgan barcha hollarda
o1417	2 soatdan ko'p bo'lmagan
o1418	3 soatdan ko'p bo'lmagan
o1419	1 soatdan ko'p bo'lmagan
o1420	Tegishli guvohnoma va taniqli belgisi qo'lbog'i
o1421	Jezl
o1422	Qizil chiroq (yorug'lik qaytargich) gardish yoki bayroqcha
o1423	Barcha sanab o'tilgan belgilar
o1424	Avtoxo'jalik rahbaridan yurishga ruxsat olishi kerak
o1425	DYHXXdan yurishga ruxsatnoma olishi kerak
o1426	Boshqa yo'nalish bo'yicha yo'l qismini aylanib o'tishi kerak
o1427	Yashil, ko'k, qizil
o1428	Yashil ayni vaqtda qizil bilan, ko'k
o1429	Asosiy yo'l bo'yicha chorrahaga chiqayotgan avtobusning haydovchisi
o1430	Chorrahada qayrilishni tugallayotgan yengil avtomobilning haydovchisi
o1431	Svetoforning ruxsat etuvchi ishorasida chorrahaga chiqqan avtobus haydovchisi
o1432	Yo'l chiziqlariga
o1433	Yo'l belgilariga
o1434	Yengil avtomobilning haydovchisi
o1435	Har ikkisi to'g'ri
o1436	Har ikkisi noto'g'ri
o1437	Majburiy to'xtash yoritgichini yoqishni
o1438	40 km/s dan oshmaydigan tezlik bilan harakatlanishni
o1439	Tovushli xabar berishni
o1440	Yaqinni yoki uzoqni yorituvchi chiroqlarini yoqish
o1441	Tormoz pedalini qattiq bosishga
o1442	Ulagich pedalini bosishga
o1443	Boshlangan tormoz berishni to'xtatishga
o1444	Burilish radiusi ko'payishi bilan
o1445	Harakat tezligi ortishi bilan
o1446	Harakat tezligi pasayishi bilan
o1447	Yashil, qizil, ko'k
o1448	Harakat ishtirokchilarining e'tiborini jalb etish uchun
o1449	Zarur hollarda "qo'lni yuqoriga ko'tarish" ishorasining o'rnini bosish uchun
o1450	Piyodalar uchun ruxsat etuvchi ishora bo'lib
o1451	Ko'priklarda, osma yo'llarda bir yo'nalishdagi harakatlanish uchun uchtadan ko'p tasma bo'lganda
o1452	Kesishadigan qatnov qismlarining chetiga 30 m qolganda
o1453	Barcha ko'rsatilgan joylarda
o1454	40 km/soatdan ortiq tezlik bilan harakat qilish
o1455	O'z transport vositasining harakat tezligini kamaytirish bilan quvib o'tishga to'sqinlik qilish
o1456	Harakat tezligini oshirish yoki boshqa hatti-harakatlar yo'li bilan quvib o'tishga to'sqinlik qilish
o1457	Ko'krak qafasining o'rtasidan
o1458	Ko'krak qafasining quyi qismidan
o1459	Qo'ltiq ostidan
o1460	Shinalar o'lchami va yo'l qo'yiladigan bosimi bo'yicha transport vositasining rusumiga mos emas
o1461	Transport vositasining bitta o'qiga diagonal shinalar radial shinalar bilan birga o'rnatilgan
o1462	M1 toifadagi avtotransport vositalarining oldingi o'qiga birinchi toifada ta'mirlangan shinalar o'rnatilgan
o1463	Agar haydovchining ishlagan davri 2 yildan ortiq bo'lsa, ruxsat etiladi
o1464	Bu manzil shu aholi punktidan tashqarida joylashganini va u manzilga avtomagistral bo'lmagan, boshqa yo'l orqali borilishni
o1465	Ko'rsatilgan aholi manziliga harakatlanish avtomagistral bo'ylab amalga oshiriladi
o1466	Ko'rsatilgan manzil mazkur aholi yashaydigan joyda joylashgan
o1467	Avtomobillar o'tadigan yo'lni kesib o'tuvchi piyodalarni o'tkazib yuborish uchun to'xtash majburiy bo'lgan joy
o1468	Velosiped yo'lkasi yo'lni kesib o'tuvchi joyni
o1469	Boshqarilmaydigan piyodalar o'tish joyni
o1470	Ko'k va qizil avtomobillar, yashil
o1471	Yashil, qizil va ayni vaqtda u bilan birga ko'k avtomobil
o1472	Ustunlik huquqidan foydalanib, tovushli xabar berishi va belgilangan yo'nalishda harakatni davom ettirishi
o1473	Harakat tezligini pasaytirishi va alohida ehtiyotkorlik bilan yo'lda davom etishi
o1474	Qatnov qismidan o'tuvchi piyodalarga yo'l berishi
o1475	Belgida ko'rsatilgan tezlikdan oshirishga faqat tezlik tegishli yo'l belgisi o'rnatilib oshirilgan yo'l qismlarida ruxsat beriladi
o1476	Belgida ko'rsatilgan tezlikdan oshirish taqiqlanadi
o1477	30 m
o1478	40 m
o1479	Iloji boricha qatnov qismining o'ng chetiga yaqinroq joyda
o1480	Xohlagan tasma bo'ylab
o1481	Faqat o'ng tasma bo'ylab. Chap tasma o'tish faqat chapga burish va burilish uchun ruxsat etiladi
o1482	Temir yo'l kesishmalarida va ulargacha 100 m dan kam masofa qolganda
o1483	Temir yo'l kesishmalarida va ulargacha 100 m dan ko'p masofa qolganda
o1484	Temir yo'l kesishmalarida va aholi yashaydigan joylardan tashqarida ulardan 100 m ko'p masofa qolganda
o1485	Avtomobilning faqat orqa o'qiga oldingi boshqaruvchi ko'prik bilan birga ruxsat etiladi
o1486	Faqat yuk avtomobiliga ruxsat etiladi
o1487	Ikkala rasmda noto'g'ri to'xtatdi
o1488	Birinchida
o1489	Ikkinchida
o1490	Ikkalasida
o1491	Harakat svetofor bilan tartibga solib turiladigan piyodalar o'tish joyini
o1492	Velosiped yo'lkasining qatnov qismini kesib o'tadigan joyni
o1493	Piyodalar yo'lkasining qatnov qismini kesib o'tadigan joyni
o1494	Qizilda
o1495	Yashilda
o1496	Istalganda
o1497	Chorrahalardan tashqarida, agar qatnov qismining kengligi chetki chap holatdan qayrilish uchun yetarli bo'lmasa
o1498	Tartibga solinmaydigan chorrahalarda, agar qayrilishni amalga oshirayotgan transport vositasi asosiy yo'lda bo'lsa
o1499	Yo'llardan foydalanish uchun masul bo'lgan idoralar tomonidan oshirilishi mumkin
o1500	Aholi yashaydigan joylardan tashqaridagi yo'llarda oshirilishi mumkin. Bunday yo'l qismlarida "yuqori tezlik cheklangan" belgisi o'rnatiladi
o1501	Oshirilishi mumkin emas
o1502	Yo'lning qatnov qismining chetki o'ng tasmasida
o1503	Yo'lning 100 m dan ko'proq qismi ko'rinadigan va harakat tasmalari soni to'rttadan ortiq bo'lgan joylarda
o1504	To'xtab turish uchun "To'xtab turish joyi" yoki "Dam olish joyi" belgilari bilan belgilangan maxsus maydonchalarda
o1505	Tunda yoki yetarli ko'rinmaydigan sharoitda harakat qilganda
o1506	Faqat avtopoezd harakat qilganda
o1507	Avtopoezd harakat qilganda, shuningdek, qorong'i vaqtida to'xtaganda va to'xtab turganida
o1508	Faqat avtopoezd yuk bilan harakat qilganda
o1509	Avtomobilning har ikki o'qiga ruxsat etiladi
o1510	Faqat orqa o'qiga ruxsat etiladi
o1511	To'rtinchi bo'lib
o1512	40 km/s dan kam tezlikda ketayotgan yakka, yon kajavasi bo'lmagan ikki g'ildirakli motosikllar va velosipedlardan tashqari barcha mexanik transport vositalarini quvib o'tish taqiqlanadi
o1513	Ruxsat etilgan to'la vazni 3,5 t dan ziyod bo'lgan yuk avtomobili bilan 40 km/s dan kam tezlikda ketayotgan yakka transport vositalaridan tashqari barcha transport vositalarini quvib o'tish taqiqlanadi
o1514	Ikkinchi tasmadan nariga o'tmaganda ruxsat etiladi
o1515	Agar "Eng kam tezlik" belgisi o'rnatilmagan bo'lsa ruxsat etiladi
o1516	To'xtash taqiqlangan joylarda majburiy to'xtaganda
o1517	Yo'l-transport hodisasi ro'y berganda
o1518	Yo'lning yoritilmagan qismlarida to'xtaganda va to'xtab turganda yoki ko'rinish yetarli bo'lmagan sharoitda gabarit yoki to'xtab turish chiroqlari nosoz bo'lganda
o1519	Haydovchi xavfni ko'rgan paytdan aniq harakatlarni bo'lguncha o'tilgan vaqt
o1520	Haydovchining tormoz berishni boshlagan paytdan transport vositasining to'la to'xtagunicha vaqtni
o1521	Transport vositasining tegishliligi haqida taniqlik belgisi
o1522	Yaxshi ko'rinadigan raqam belgisi
o1523	Taniqli va raqam belgilari
o1524	Bora olmaydilar
o1525	Bora oladilar
o1526	Hodisa chizmasini taxminiy tuzib va uni imzolab bora oladilar
o1527	Faqat "Г"
o1528	"Б" va "Г"
o1529	"В" va "Г"
o1530	"Б", "В" va "Г"
o1531	Mexanik transport vositalariga
o1532	Avtomobillarga, avtobuslarga va motosikllarga
o1533	Yuqori tezligi 40 km/s dan kam bo'lmagan transport vositalariga
o1534	Faqat bir qatorda
o1535	Qatnov qismining barcha kengligi bo'ylab
o1536	Quvib o'tish bilan
o1537	Svetofor qaysi tasma ustiga joylashtirilgan bo'lsa, o'sha tasma bo'yicha
o1538	Pastlik tomon harakatlanayotgan transport vositasiga
o1539	Belgilangan yo'nalishdagi transport vositasiga
o1540	Balandlikka harakatlanayotgan transport vositasiga
o1541	Ushbu qoidalarga muvofiq ravishda transport vositasiga o'rnatilgan taniqli belgida ko'rsatilgan tezlikdan oshirish
o1542	Keskin tormoz berish, agar bu harakatlanish xavfsizligini ta'minlash uchun talab qilinmasa
o1543	Ikkala sanab o'tilgan harakat taqiqlanadi
o1544	Kiyim-boshni yechishni kasal qo'ldan boshlash, so'ng sog' qo'lni bo'shatish
o1545	Kiyim-boshni ikkala qo'ldan bir vaqtda echish
o1546	Kiyim-boshni yechishni sog' qo'ldan boshlash, so'ng kasal qo'lni bo'shatish
o1547	Qattiq qoplamasiz yo'l bo'ylab faqat kunning yorug' vaqtida ruxsat etiladi
o1548	Harakat qila oladilar
o1549	Agar velosipedlarning harakatlanishini qiyinlashtirmasa, harakat qila oladilar
o1550	Harakat qila olmaydilar
o1551	Ikkinchi bo'lib, ayni vaqtda ko'k bilan birga
o1552	Ikkinchi bo'lib, sariqdan keyin
o1553	Uchinchi bo'lib, yashil, sariqdan keyin
o1554	Tramvaylarga va avtobuslarga
o1555	Faqat tramvaylarga
o1556	Tramvaylarga, shuningdek alohida tasmadan yuradigan belgilangan yo'nalishdagi boshqa transport vositalarini harakatini tartibga soladi
o1557	Transport vositasi bilan shatakka olganda
o1558	Saf tarkibida harakatlanganda
o1559	Kunning qorong'i vaqtida
o1560	Yetarlicha ko'rinmaydigan sharoitda qo'llash mumkin
o1561	Qatnov qismidagi o'z tasmasi bo'ylab harakatni davom ettirish
o1562	Haydovchi maxsus tovushli ishoralarini yoqqan holda yaqinlashib kelayotgan transport vositalariga yo'l berishlari, zarur bo'lgan hollarda ularning to'siqsiz o'tib ketishlari uchun o'zlarini yo'lning o'ng tomoniga olib to'xtashlari shart
o1563	Faqat yengil avtomobillarga va motosikllarga to'xtab turishga tegishli yo'l belgilari o'rnatilgan joylarda ruxsat etiladi
o1564	Ruxsat etilgan to'la vazni 3,5 t dan ziyod bo'lgan faqat yuk avtomobillariga taqiqlanadi
o1565	Barcha transport vositalariga taqiqlanadi
o1566	Ishqalanish koeffisienti oshadi
o1567	Ishqalanish koeffisienti o'zgarmaydi
o1568	Ishqalanish koeffisienti kamayadi
o1569	Transport vositasining tashqi yuzasiga qonun hujjatlariga mos kelmaydigan va harakat xavfsizligiga salbiy ta'sir ko'rsatadigan turli xil tasvirlar tushirilgan bo'lsa
o1570	Gaz ta'minlash tizimi bilan jihozlangan avtobus va avtomobil gaz ballonlarining tashqi tomonida ko'rsatilgan texnik ko'rsatkichlar (parametrlar) texnik pasportdagi ma'lumotlarga (ko'rsatkichlarga) mos kelsa, oxirgi va rejalashtirilgan tekshirishlarning sanasi bo'lsa
o1571	Ishlab chiqaruvchi korxona tomonidan ko'zda tutilmagan hollarda kuzov (kabina) bir necha xil rangga bo'yalgan bo'lsa (maxsus transport vositalari bundan mustasno)
o1572	Yo'l harakat qismining chetidan harakatlanayotgan transport vositalariga qarshi
o1573	Yo'l yoqasidan yoki qatnov qismining chetidan transport vositalarining harakati bo'ylab
o1574	Har qanday yo'nalishda
o1575	"Nogiron" taniqli belgisi bo'lgan avtomobillar uchun 30 m dan keyin to'xtab turish joyiga kelishini
o1576	Motokajavalardan tashqari transport vositalari uchun 30 m li hududdagi to'xtab turish joyini
o1577	"Nogiron" taniqli belgisi bo'lgan motokajava va avtomobillar uchun 30 m li hududdagi to'xtab turish joyini
o1578	Qizil chorrahaga chiqadi va ko'kni o'tkazib yuborish uchun to'xtaydi; yashil; ko'k va qizil burilishni tugallaydi
o1579	Motosikl, avtobus, yuk avtomobili
o1580	Avtobus, motosikl, yuk avtomobili
o1581	Avtobus, yuk avtomobili, motosikl
o1582	5 yosh
o1583	6 yosh
o1584	8 yosh
o1585	10 yosh
o1586	12 yosh
o1587	Harakatlanish serqatnov bo'lgan yo'llarda turgan transport vositasining eshigini ochish taqiqlanadi
o1588	Harakatlanish serqatnov bo'lgan yo'llarda haydovchi eshigini ochish taqiqlanadi. O'z joyidan yo'lovchi eshigi orqali chiqadi
o1589	Turgan transport vositasining eshigini ochish taqiqlanadi; agar bu xavf tug'dirsa va harakatlanishning boshqa ishtirokchilariga xalaqit bersa
o1590	Darvozadan chiqish joylarida
o1591	Tramvay yo'llarida
o1592	Tramvay yo'llaridan bevosita yaqinroqda, agar bu tramvaylarning harakatiga to'sqinlik qilsa
o1593	Shinalarning shikastlanishi ortadi
o1594	Ulagich qismlarining shikastlanishi ortadi
o1595	Tormoz qiziydi va ishdan chiqadi
o1596	Piyodalarning o'tish joylarida va ularga 10 m dan kam qolganda
o1597	Transport vositalari piyodalarning harakatiga xalaqit beradigan joylarda
o1598	Hovlidan chiqadigan joylarda
o1599	Barcha sanab o'tilgan joylarda
o1600	Faqat yuk avtomobillariga
o1601	Barcha avtomobillarga
o1602	Ko'k avtomobil ayni vaqtda sariq bilan birga
o1603	Yengil avtomobil, avtobus, tramvay
o1604	Piyodalar o'tish joylarida va tunnellarda
o1605	Loaqal bir yo'nalishda yo'l 100 metrdan kamroq ko'ringanda
o1606	Yonboshi yoki orqasiga yotqizilgan holatda, lat yegan joyga issiq grelka qo'yiladi
o1607	Yotqizilgan holatda, lat yegan joyiga sovuq narsa (muz, malham) qo'yiladi
o1608	Yarim o'tkazilgan holatda, tizzalari tanaga yaqinlashtiriladi
o1609	Faqat xususiy egalariga tegishli avtomobillar, motosikllar va mopedlarga ruxsat etiladi
o1610	Yashil avtomobil haydovchisi
o1611	Ikkala haydovchi to'g'ri bajarmoqda
o1612	Ikkala haydovchilarga quvib o'tish taqiqlangan
o1613	Traktor haydovchisi
o1614	Yo'lning tor qismi uzunligini
o1615	Belgidan yo'lning tor qismigacha bo'lgan masofani
o1616	Tor qismini aylanib o'tish joyigacha masofani
o1617	Yo'lnig kichik radiusli burilishlarini yo'l chetiga o'rnatilgan to'siqlarning yon yuzalarini bildiradi
o1618	Boshqa joylardagi to'siqlarning yon yuzalarini bildiradi
o1619	Yo'lning xavfli burilishlarida va yo'lning loaqal bir yo'nalishda 100 m dan kamroq qismi ko'rinadigan yo'lning uzunasiga qavarib turgan joylari yaqinida
